id,value
id_0,3.4558252717228903
id_1,13.722473272946985
id_2,20.805247663951786
id_3,4.422950206334399
id_4,23.717841339818698
id_5,17.647664508681014
id_6,17.939428883770148
id_7,26.560043409373417
id_8,14.63955140182211
id_9,49.3632915157891
id_10,12.143159981762045
id_11,6.050153183283641
id_12,52.038167029312575
id_13,43.666261010192976
id_14,16.587822633945738
id_15,8.673060728263508
id_16,25.741386750853277
id_17,56.1986456940775
id_18,-5.6583455473775075
id_19,12.094654863482635
id_20,35.328123291671574
id_21,60.16361264433664
id_22,6.632603788495235
id_23,14.981369833888941
id_24,12.096003932344981
id_25,31.331792714322678
id_26,10.501469696409226
id_27,60.87719451147672
id_28,4.215128387719833
id_29,45.72173526042501
id_30,17.094118177356663
id_31,6.262868335993161
id_32,3.752433097885632
id_33,15.879903912574978
id_34,25.336825532387653
id_35,30.4908939273106
id_36,35.60560729786813
id_37,24.662939790546048
id_38,36.38195240402958
id_39,29.50604014818184
id_40,3.3404180929565754
id_41,33.404706507326445
id_42,27.101591603231434
id_43,42.78404639191413
id_44,13.063414043768175
id_45,28.82518549022872
id_46,19.384880937310783
id_47,6.510720021775867
id_48,18.384601522083848
id_49,26.82977609725006
id_50,18.91877667605202
id_51,5.745647031473538
id_52,17.389586690614674
id_53,45.44849632364087
id_54,12.634515028803527
id_55,28.086197744683076
id_56,25.538313508535563
id_57,19.354102156888622
id_58,48.75344314186148
id_59,15.830538701964104
id_60,14.005854801150651
id_61,33.94699516491984
id_62,8.509359588509573
id_63,41.01279475834181
id_64,8.878942348167001
id_65,11.041148510279076
id_66,9.778961123486804
id_67,-4.397122698737501
id_68,36.385709180594375
id_69,27.842618625657003
id_70,15.697669898960033
id_71,30.918345240079283
id_72,49.88216821581807
id_73,2.139833086212903
id_74,13.286482493357052
id_75,3.7896760100035287
id_76,33.38062688445093
id_77,12.280148101958899
id_78,20.61422869318506
id_79,18.055716920086105
id_80,20.63407962844413
id_81,33.01735471985367
id_82,19.097864820362915
id_83,77.30533467239951
id_84,30.18109104456694
id_85,21.75608694469709
id_86,19.4255754782229
id_87,22.90200416538335
id_88,22.007769873555063
id_89,16.98619345546313
id_90,24.71841814530761
id_91,32.87423093181378
id_92,1.5821417267211828
id_93,29.93967220738327
id_94,39.27013200127034
id_95,11.967528632051026
id_96,29.383417641239063
id_97,7.832623458114073
id_98,20.36705005106465
id_99,3.793213246123191
id_100,14.109542622933276
id_101,23.198939349198117
id_102,6.645919869550184
id_103,12.258113806097876
id_104,18.79955686152868
id_105,31.428981572095193
id_106,24.694685963892578
id_107,4.1057770178620565
id_108,6.410697226033186
id_109,66.73543320541964
id_110,38.3528652024957
id_111,11.85484850343478
id_112,24.099919555109114
id_113,12.364078938483404
id_114,11.167042376041275
id_115,20.05216626838614
id_116,19.219457494206203
id_117,8.938588471012297
id_118,14.013031200219796
id_119,15.016998207263585
id_120,71.9080469970953
id_121,22.17880370208239
id_122,29.314919770245037
id_123,19.984037844491283
id_124,5.594276196486501
id_125,34.10087421731786
id_126,8.403123530087228
id_127,14.752048299978293
id_128,22.548683347241532
id_129,53.39893421075023
id_130,19.155690493867485
id_131,17.175417667998406
id_132,51.916835499323525
id_133,10.725122592275934
id_134,12.077230271961664
id_135,1.3776102027930328
id_136,8.898664776395671
id_137,49.23744435013205
id_138,17.21746431225327
id_139,1.7347827752688936
id_140,21.762170126990473
id_141,19.8819404389953
id_142,35.40417122606847
id_143,24.731708682065598
id_144,12.884700306546604
id_145,21.599932545080133
id_146,8.258200787677051
id_147,43.88514725441563
id_148,19.44605707044091
id_149,32.38577610696834
id_150,6.157553875788281
id_151,4.430911665161808
id_152,20.70082393757151
id_153,4.800232088639849
id_154,11.268605642643902
id_155,35.40292019276915
id_156,6.00109813453464
id_157,30.60233602054877
id_158,7.651816118243552
id_159,14.673691223029273
id_160,33.44135399225825
id_161,14.173687890560334
id_162,7.550238870057036
id_163,4.980656238122002
id_164,43.38356309991369
id_165,24.314820463467928
id_166,-8.430306129236264
id_167,12.62639538858403
id_168,54.19272649955364
id_169,10.415516753971591
id_170,53.79822125859296
id_171,34.54694077138284
id_172,19.8309739864908
id_173,16.751744063770943
id_174,53.11099874048482
id_175,19.72801667680731
id_176,15.73295459992888
id_177,30.535444515205597
id_178,8.30102963512616
id_179,24.074066099794795
id_180,13.218232723044324
id_181,7.542922032435385
id_182,47.415848267604034
id_183,37.655299380125115
id_184,14.428026726439779
id_185,27.792079188954805
id_186,21.407926646565112
id_187,58.19047549854692
id_188,7.026771346451273
id_189,48.03743282914729
id_190,29.35542675638202
id_191,12.405791322975476
id_192,24.50191392924974
id_193,-3.9547201716373586
id_194,15.114408453789705
id_195,0.15549964134864425
id_196,27.75541764668551
id_197,8.332162235998469
id_198,14.10020585117262
id_199,52.82594143763719
id_200,20.290199916642496
id_201,18.31808551312791
id_202,54.115332866146886
id_203,8.47017942838046
id_204,6.8965821150772335
id_205,8.667263620091333
id_206,5.78316949022101
id_207,1.0654119209761213
id_208,103.41544807152042
id_209,14.455878833570948
id_210,11.84159166383267
id_211,10.753672964181565
id_212,28.015144274428724
id_213,29.135776300501167
id_214,15.27064340683902
id_215,28.74555441987134
id_216,63.49036616115562
id_217,-0.21458939483111195
id_218,10.218982325542335
id_219,27.677554719616452
id_220,12.84150718175219
id_221,9.984208081877188
id_222,94.97405705708822
id_223,8.386429463106484
id_224,13.75302829137882
id_225,50.535405997205046
id_226,12.783644985526031
id_227,16.464541302453704
id_228,7.566972424413363
id_229,3.2791818421219965
id_230,37.39437046810232
id_231,11.529951871204258
id_232,42.24253955865345
id_233,37.39239994834783
id_234,20.372828256234097
id_235,33.918755557650414
id_236,55.514856643554346
id_237,30.516576848269363
id_238,13.840604130101326
id_239,12.054425463187982
